player_name,win,make_cut,top_5,top_10,top_20
"Clark, Wyndham",0.198410625,0.997325,0.5504,0.70605,0.852175
"Rahm, Jon",0.115622083333333,0.9715,0.408925,0.5806,0.762525
"Fitzpatrick, Matt",0.100997083333333,0.978825,0.39235,0.57425,0.76315
"McIlroy, Rory",0.0698625,0.95095,0.3063,0.476725,0.678575
"Aberg, Ludvig",0.04631625,0.94055,0.244925,0.407175,0.611875
"DeChambeau, Bryson",0.0422195833333333,0.929675,0.2151,0.35975,0.562425
"Scheffler, Scottie",0.038875625,0.838075,0.2209,0.3746,0.5682
"Fleetwood, Tommy",0.0343760416666667,0.917825,0.21035,0.3661,0.582625
"Henley, Russell",0.031059375,0.911975,0.191275,0.34115,0.556225
"Johnson, Dustin",0.0221045833333333,0.9243,0.145825,0.27035,0.465675
"Woodland, Gary",0.0199266666666667,0.92195,0.132525,0.252825,0.446075
"Burns, Sam",0.0155670833333333,0.829775,0.12135,0.236125,0.4267
"Schauffele, Xander",0.0153570833333333,0.7342,0.106025,0.20735,0.376625
"Stevens, Sam",0.0125475,0.93915,0.107125,0.2214,0.424
"McGreevy, Max",0.0112629166666667,0.9479,0.1023,0.217625,0.419125
"Greyserman, Max",0.0112095833333333,0.8853,0.083525,0.17815,0.352875
"Young, Cameron",0.0111029166666667,0.739875,0.090175,0.187425,0.35405
"Harman, Brian",0.0104364583333333,0.904125,0.090275,0.192375,0.381625
"Niemann, Joaquin",0.01041875,0.801875,0.086625,0.1747,0.3359
"Reitan, Kristoffer",0.0099304166666666,0.847625,0.0877,0.186,0.360375
"Thomas, Justin",0.0098245833333333,0.764925,0.08625,0.1767,0.338575
"Conners, Corey",0.0097252083333333,0.8872,0.083425,0.1806,0.36145
"Bradley, Keegan",0.0091145833333333,0.854875,0.0826,0.177875,0.356625
"Griffin, Ben",0.0077679166666666,0.797225,0.0758,0.164825,0.336075
"Mitchell, Keith",0.0072658333333333,0.839975,0.068575,0.154625,0.31795
"MacIntyre, Robert",0.0062516666666666,0.752975,0.060475,0.140175,0.293525
"Fitzpatrick, Alex",0.0061191666666666,0.7775,0.058725,0.1376,0.29515
"Matsuyama, Hideki",0.0055845833333333,0.740875,0.056975,0.132575,0.27785
"James, Ben",0.0053691666666666,0.8687,0.0541,0.128825,0.2841
"Hisatsune, Ryo",0.00528375,0.81475,0.05655,0.127425,0.2752
"Kim, Tom",0.0049,0.825475,0.054475,0.129175,0.280225
"Kohles, Ben",0.0047352083333333,0.84015,0.05175,0.119875,0.266225
"McNealy, Maverick",0.0046120833333333,0.68245,0.04785,0.1138,0.250675
"Morikawa, Collin",0.0042704166666666,0.623775,0.044,0.105275,0.23625
"Fowler, Rickie",0.0041566666666666,0.738875,0.040025,0.098575,0.227025
"Mouw, William",0.0038329166666666,0.82385,0.04425,0.1065,0.248825
"Lee, Min Woo",0.0037029166666666,0.521,0.0374,0.086125,0.1864
"Cauley, Bud",0.0034520833333333,0.708625,0.04465,0.107,0.24435
